symbol,companyName,industry
MANAKSIA,Manaksia Limited,Iron & Steel Products
RUSHIL,Rushil Decor Limited,Plywood Boards/ Laminates
PROZONER,Prozone Realty Limited,Residential Commercial Projects
OMINFRAL,OM INFRA LIMITED,Civil Construction
IFBAGRO,IFB Agro Industries Limited,Breweries & Distilleries
FILATEX,Filatex India Limited,Other Textile Products
KUANTUM,Kuantum Papers Limited,Paper & Paper Products
PARACABLES,Paramount Communications Limited,Cables - Electricals
ORIENTBELL,Orient Bell Limited,Ceramics
ADOR,Ador Welding Limited,Other Industrial Products
RELIABLE,Reliable Data Services Limited,Other Financial Services
GSPCROP,GSP Crop Science Limited,Pesticides & Agrochemicals
IRISDOREME,Iris Clothings Limited,Garments & Apparels
MODIS,Modis Navnirman Limited,Residential Commercial Projects
BNAGROCHEM,BN Agrochem Limited,Trading & Distributors
INFOBEAN,InfoBeans Technologies Limited,Computers - Software & Consulting
GATEWAY,Gateway Distriparks Limited,Logistics Solution Provider
BCLIND,Bcl Industries Limited,Breweries & Distilleries
CHEMPLASTS,Chemplast Sanmar Limited,Specialty Chemicals
JINDWORLD,Jindal Worldwide Limited,Other Textile Products
KAMATHOTEL,Kamat Hotels (I) Limited,Hotels & Resorts
ASHIANA,Ashiana Housing Limited,Residential Commercial Projects
GTPL,GTPL Hathway Limited,TV Broadcasting & Software Production
SIMBHALS,Simbhaoli Sugars Limited,Sugar
KOLTEPATIL,Kolte - Patil Developers Limited,Residential Commercial Projects
MMP,MMP Industries Limited,Aluminium
DECNGOLD,Deccan Gold Mines Limited,Precious Metals
ALKALI,Alkali Metals Limited,Specialty Chemicals
KALYANIFRG,Kalyani Forge Limited,Castings & Forgings
SCILAL,Shipping Corporation of India Land and Assets Limited,Investment Company
SATIN,Satin Creditcare Network Limited,Microfinance Institutions
KCPSUGIND,KCP Sugar and Industries Corporation Limited,Sugar
MUFTI,Credo Brands Marketing Limited,Speciality Retail
PRAVEG,Praveg Limited,Hotels & Resorts
KEEPLEARN,DSJ Keep Learning Limited,Education
FINOPB,Fino Payments Bank Limited,Other Bank
NATHBIOGEN,Nath Bio-Genes (India) Limited,Other Agricultural Products
CONSOFINVT,Consolidated Finvest & Holdings Limited,Investment Company
PLATIND,Platinum Industries Limited,Specialty Chemicals
BHARATWIRE,Bharat Wire Ropes Limited,Iron & Steel Products
TATACAP,Tata Capital Limited,Non Banking Financial Company (NBFC)
